Code,Copert_V_name,EFbase
PCCNG_9,Passenger Cars_CNG Bifuel ~ CNG_Medium_Euro 6,0.0075
PCB_33,Passenger Cars_CNG Bifuel ~ Petrol_Medium_Euro 6,0.0075
PCCNG_10,Passenger Cars_CNG Bifuel ~ CNG_Large-SUV-Executive_Euro 4,0.0075
PCB_34,Passenger Cars_CNG Bifuel ~ Petrol_Large-SUV-Executive_Euro 4,0.0075
PCCNG_11,Passenger Cars_CNG Bifuel ~ CNG_Large-SUV-Executive_Euro 5,0.0075
PCB_35,Passenger Cars_CNG Bifuel ~ Petrol_Large-SUV-Executive_Euro 5,0.0075
PCCNG_12,Passenger Cars_CNG Bifuel ~ CNG_Large-SUV-Executive_Euro 6,0.0075
PCB_36,Passenger Cars_CNG Bifuel ~ Petrol_Large-SUV-Executive_Euro 6,0.0075
LDVG_1,Light Commercial Vehicles_Petrol_N1-I_Conventional,0.0117
LDVG_2,Light Commercial Vehicles_Petrol_N1-I_Euro 1,0.0117
LDVG_3,Light Commercial Vehicles_Petrol_N1-I_Euro 2,0.0117
LDVG_4,Light Commercial Vehicles_Petrol_N1-I_Euro 3,0.0117
LDVG_5,Light Commercial Vehicles_Petrol_N1-I_Euro 4,0.0117
LDVG_6,Light Commercial Vehicles_Petrol_N1-I_Euro 5,0.0117
LDVG_7,Light Commercial Vehicles_Petrol_N1-I_Euro 6 up to 2016,0.0117
LDVG_8,Light Commercial Vehicles_Petrol_N1-I_Euro 6 2017-2019,0.0117
LDVG_9,Light Commercial Vehicles_Petrol_N1-I_Euro 6 2020+,0.0117
LDVG_10,Light Commercial Vehicles_Petrol_N1-II_Conventional,0.0117
LDVG_11,Light Commercial Vehicles_Petrol_N1-II_Euro 1,0.0117
LDVG_12,Light Commercial Vehicles_Petrol_N1-II_Euro 2,0.0117
LDVG_13,Light Commercial Vehicles_Petrol_N1-II_Euro 3,0.0117
LDVG_14,Light Commercial Vehicles_Petrol_N1-II_Euro 4,0.0117
LDVG_15,Light Commercial Vehicles_Petrol_N1-II_Euro 5,0.0117
LDVG_16,Light Commercial Vehicles_Petrol_N1-II_Euro 6 up to 2017,0.0117
LDVG_17,Light Commercial Vehicles_Petrol_N1-II_Euro 6 2018-2020,0.0117
LDVG_18,Light Commercial Vehicles_Petrol_N1-II_Euro 6 2021+,0.0117
LDVG_19,Light Commercial Vehicles_Petrol_N1-III_Conventional,0.0117
LDVG_20,Light Commercial Vehicles_Petrol_N1-III_Euro 1,0.0117
LDVG_21,Light Commercial Vehicles_Petrol_N1-III_Euro 2,0.0117
LDVG_22,Light Commercial Vehicles_Petrol_N1-III_Euro 3,0.0117
LDVG_23,Light Commercial Vehicles_Petrol_N1-III_Euro 4,0.0117
LDVG_24,Light Commercial Vehicles_Petrol_N1-III_Euro 5,0.0117
LDVG_25,Light Commercial Vehicles_Petrol_N1-III_Euro 6 up to 2017,0.0117
LDVG_26,Light Commercial Vehicles_Petrol_N1-III_Euro 6 2018-2020,0.0117
