,Link_ID,FID,length
62,83,6427,0.13375758735852852
63,84,6427,0.025593932772642176
64,89,6427,0.14764719590342418
65,90,6427,0.031599153301619
66,91,6427,0.08011219141970538
67,92,6427,0.013991123136426298
68,95,6427,0.0951740336174432
69,97,6427,0.039313697822360744
70,99,6427,0.12087866467094627
71,101,6427,0.10120960376672881
72,103,6427,0.06915458753705121
73,107,6427,0.04393040867760625
74,108,6427,0.15106363582899437
75,113,6427,0.044265418594800904
76,123,6427,0.04400976541815894
77,124,6427,0.10012869817951803
78,125,6427,0.15268427717196814
79,127,6427,0.011349884082240377
80,130,6427,0.12627253295482918
81,135,6427,0.02635628029130916
82,138,6427,0.0240258860720913
83,139,6427,0.13286843299153442
84,140,6427,0.15661827026379402
85,141,6427,0.13290552944738013
86,144,6427,0.0784235710610258
87,145,6427,0.13165968381090434
88,146,6427,0.11455297629830227
89,152,6427,0.10980065674065653
90,153,6427,0.004531587878274053
91,154,6427,0.013731527493894414
92,157,6427,0.1793904660502999
93,158,6427,0.049005920253434324
94,161,6427,0.0234192146265395
95,162,6427,0.03218139060938725
96,165,6427,0.0045722542434312044
97,166,6427,0.016738532196489735
98,169,6427,0.016673071245699587
99,171,6427,0.10305870725418217
100,173,6427,0.13142693828521881
101,174,6427,0.11068245249208739
102,176,6427,0.023700862823320748
103,178,6427,0.06871963085457514
104,185,6427,0.08513881484466407
105,191,6427,0.03901702773132719
106,193,6427,0.09569588008478681
107,209,6427,0.18841266280493688
108,210,6427,0.03645757645333198
109,211,6427,0.013303418493867404
110,212,6427,0.09237337106747544
111,218,6427,0.008078379776320895
112,220,6427,0.04153540590138117
113,227,6427,0.20397907845537805
114,229,6427,0.013135005282325552
115,237,6427,0.05808361660544505
116,240,6427,0.044841794407291476
117,242,6427,0.005650260711926465
118,245,6427,0.02478528913114584
119,246,6427,0.05206127028907774
120,247,6427,0.020585227860533382
121,252,6427,0.04930875818509177
122,254,6427,0.0636556138610954
123,255,6427,0.010680149421385364
124,256,6427,0.012501378053639097
125,257,6427,0.016062245255985135
126,258,6427,0.11909680257243987
127,259,6427,0.021832978520023756
128,261,6427,0.4150440928625919
129,262,6427,0.0738910444360461
130,263,6427,0.017041133502996287
131,264,6427,0.191094392617179
132,265,6427,0.07222817018820776
133,268,6427,0.029502778255545335
134,272,6427,0.07855867490076925
135,273,6427,0.014836298622061428
136,274,6427,0.20033511037588927
137,275,6427,0.0926605743741725
138,276,6427,0.17616075748886456
139,279,6427,0.061145058703719626
140,281,6427,0.019327978553582214
141,283,6427,0.06145585985337073
142,284,6427,0.06768136788683889
143,290,6427,0.005719265227223781
144,291,6427,0.12210087183050002
145,293,6427,0.033882879999281475
146,294,6427,0.014976495542633425
147,296,6427,0.12207251274357082
148,309,6427,0.06288936489343154
149,310,6427,0.07306890866504369
150,312,6427,0.02013911227691292
151,313,6427,0.009454033209308434
152,327,6427,0.010676223566827774
153,328,6427,0.01188522227862387
154,343,6427,0.013949811543658578
155,348,6427,0.04144312257017854
156,349,6427,0.02306525492897803
157,353,6427,0.20593992742834272
158,354,6427,0.01209852186468434
159,355,6427,0.02431119680539529
160,358,6427,0.011372387910218036
161,365,6427,0.08939614600815601
162,366,6427,0.02232557771808075
163,367,6427,0.03077220870820539
164,368,6427,0.005778080949765894
165,375,6427,0.08110828067519119
166,378,6427,0.1328791432937816
167,380,6427,0.1026137598576973
168,381,6427,0.1401141280483144
169,383,6427,0.02907407451406677
170,384,6427,0.00907573072447371
171,385,6427,0.01578029279099529
172,386,6427,0.00876911696906073
173,387,6427,0.015427213914950264
174,388,6427,0.008413403845443541
175,389,6427,0.04204123037990075
176,399,6427,0.012693525771457822
177,404,6427,0.02175357869724621
178,405,6427,0.03883913834133375
179,406,6427,0.03339151122908153
180,407,6427,0.14527072096217472
181,408,6427,0.07680808897232493
182,412,6427,0.04276686227931135
183,413,6427,0.10787768200054024
184,420,6427,0.02352546889599386
185,421,6427,0.01995292907096066
186,423,6427,0.05677367214594332
187,424,6427,0.022403953231648406
188,430,6427,0.04121804095109449
189,431,6427,0.11582259217742369
190,432,6427,0.06730992487551804
191,433,6427,0.036309304762800254
192,434,6427,0.03512281150783235
193,442,6427,0.14932291860849187
194,443,6427,0.14893037974610387
195,453,6427,0.027032086470676668
196,454,6427,0.02159382351821343
197,455,6427,0.023224292222905143
198,456,6427,0.10994913550068902
199,457,6427,0.09698317852744467
200,461,6427,0.024117498101276405
201,462,6427,0.03012176440957201
