"P_hour","operation","day_type","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"LEAS","departure","weekday",0,0,0,0,0,0,0,0.0324693506129877,0.0714285714285714,0.0454490910181796,0.0519489610207796,0.0649387012259755,0.103897922041559,0.0649387012259755,0.0584388312233755,0.123377532449351,0.0389592208155837,0.0909081818363633,0.0519489610207796,0.0519489610207796,0.0324693506129877,0.0519489610207796,0.0584388312233755,0.00648987020259595
"LEBA","arrival","weekend",0,0,0,0,0,0,0,0,0.05,0.2,0.1,0.25,0.1,0.2,0,0,0,0,0,0,0.1,0,0,0
"LEBA","arrival","weekday",0,0,0,0,0,0,0,0,0.0727314546290926,0.145452909058181,0.109092181843637,0.163643272865457,0.127272545450909,0.0727314546290926,0.0181803636072721,0.0363607272145443,0,0.0181803636072721,0.0363607272145443,0.0181803636072721,0.0363607272145443,0.127272545450909,0.0181803636072721,0
"LEBA","departure","weekend",0,0,0,0,0,0,0,0,0.2,0.1,0.2,0.2,0.15,0.1,0,0,0,0,0,0,0.05,0,0,0
"LEBA","departure","weekday",0,0,0,0,0,0,0,0,0.129626111216664,0.111106666799996,0.166665000049999,0.074067777966661,0.111106666799996,0.0555583332500025,0.0555583332500025,0.0555583332500025,0.0555583332500025,0.0555583332500025,0.0185194444166675,0.0185194444166675,0.0555583332500025,0.037038888833335,0,0
"LEBB","arrival","weekend",0,0,0,0,0,0,0,0,0.00657993420065799,0.0789492105078949,0.0526294737052629,0.0657893421065789,0.0723692763072369,0.039469605303947,0.0986790132098679,0.019739802601974,0.0657893421065789,0.0723692763072369,0.0789492105078949,0.0657893421065789,0.0723692763072369,0.0723692763072369,0.0921090789092109,0.0460495395046049
"LEBB","arrival","weekday",0.00200004000080002,0,0,0,0,0,0.00200004000080002,0.0160303206064121,0.0420808416168323,0.0661313226264525,0.0541110822216444,0.0521010420208404,0.0861717234344687,0.0601212024240485,0.104212084241685,0.0340706814136283,0.0601212024240485,0.0641312826256525,0.0741514830296606,0.0460909218184364,0.0420808416168323,0.0801616032320646,0.0901818036360727,0.0240504810096202
"LEBB","departure","weekend",0,0,0,0,0,0,0.032890328903289,0.0921109211092111,0.019740197401974,0.039470394703947,0.105261052610526,0.046050460504605,0.0657906579065791,0.0723707237072371,0.039470394703947,0.0723707237072371,0.032890328903289,0.0921109211092111,0.0855308553085531,0.0657906579065791,0.046050460504605,0.039470394703947,0.032890328903289,0.019740197401974
"LEBB","departure","weekday",0,0,0,0,0,0,0.046180461804618,0.0903609036090361,0.028110281102811,0.0542205422054221,0.0743007430074301,0.0662706627066271,0.042170421704217,0.0923709237092371,0.0582305823058231,0.0843408434084341,0.0522105221052211,0.0622506225062251,0.0682706827068271,0.0702807028070281,0.038150381503815,0.028110281102811,0.036140361403614,0.00803008030080301
"LEBL","arrival","weekend",0.032809671903281,0.00904990950090499,0.00791992080079199,0.004519954800452,0.00678993210067899,0.001129988700113,0.011309886901131,0.022619773802262,0.0531694683053169,0.0588194118058819,0.0622193778062219,0.0622193778062219,0.0610893891061089,0.0508994910050899,0.0610893891061089,0.048639513604864,0.0497695023049769,0.0712692873071269,0.041859581404186,0.0520394796052039,0.0622193778062219,0.0678693213067869,0.0441195588044119,0.0565594344056559
"LEBL","arrival","weekday",0.01784,0.01054,0.00567,0.00324,0.00932,0.00689,0.00932,0.02229,0.06688,0.06242,0.05229,0.06364,0.05756,0.05797,0.05594,0.04662,0.04905,0.0604,0.05675,0.06972,0.05594,0.05634,0.04905,0.05432
"LEBL","departure","weekend",0.01496,0.0046,0.00345,0.00345,0.00345,0.0023,0.05524,0.04603,0.04028,0.06444,0.06904,0.05754,0.06674,0.05524,0.06099,0.06099,0.06099,0.05754,0.05754,0.04488,0.06444,0.05063,0.04373,0.01151
