engine_id,co,hc,nox_no2,fuel,pm10,pm25,co2,so2
FOCA-4,0.01431,0.0002218,0.0001316,0.018,1.26e-06,1.26e-06,0.0567,9e-06
FOCA-5,0.005552,0.0001186,2.776e-05,0.0057,3.99e-07,3.99e-07,0.017955,2.85e-06
FOCA-6,0.006693,0.0001205,5.536e-05,0.008,5.6e-07,5.6e-07,0.0252,4e-06
FOCA-7,0.009614,0.0001314,5.926e-05,0.0102,7.14e-07,7.14e-07,0.03213,5.1e-06
FOCA-8,0.01718,0.000308,1.4e-05,0.014,9.8e-07,9.8e-07,0.0441,7e-06
FOCA-9,0.02245,0.0007333,0.0001069,0.0449,4.49e-06,4.49e-06,0.141435,2.245e-05
FOCA-10,0.008312,0.000104,3.335e-05,0.0084,5.88e-07,5.88e-07,0.02646,4.2e-06
FOCA-11,0.01201,0.0001194,5.4e-05,0.0125,8.75e-07,8.75e-07,0.039375,6.25e-06
FOCA-12,0.03795,0.0004291,6.192e-06,0.0258,1.806e-05,1.806e-05,0.08127,1.29e-05
FOCA-13,0.003769,0.001454,3.6e-06,0.0036,3.6e-06,3.6e-06,0.01134,1.8e-06
FOCA-14,0.002357,4.504e-05,3.19e-05,0.0031,6.2e-09,6.2e-09,0.009765,1.55e-06
FOCA-15,0.001901,8.351e-05,0.0001241,0.00412,8.24e-09,8.24e-09,0.012978,2.06e-06
FOCA-16,0.003718,6.888e-05,0.0001008,0.0056,1.12e-08,1.12e-08,0.01764,2.8e-06
FOCA-17,3.392e-05,6.375e-06,0.0001162,0.0051,3.57e-07,3.57e-07,0.016065,2.55e-06
FOCA-18,0.03795,0.0004291,6.192e-06,0.0258,1.806e-06,1.806e-06,0.08127,1.29e-05
FOCA-19,0.01201,0.0001194,5.4e-05,0.0125,8.75e-07,8.75e-07,0.039375,6.25e-06
FOCA-20,0.02652,0.0003197,4.807e-05,0.023,1.61e-06,1.61e-06,0.07245,1.15e-05
PW127E,0.000212121212121212,8.33333333333333e-07,0.00133116883116883,0.101190476190476,1.01190476190476e-06,1.01190476190476e-06,0.31875,5.05952380952381e-05
PW127F,0.000198663853727145,8.33333333333333e-07,0.00166315049226442,0.104430379746835,1.04430379746835e-06,1.04430379746835e-06,0.328955696202532,5.22151898734177e-05
PT6A65B ,0.00038265306122449,1.27551020408163e-05,0.000416666666666667,0.0629251700680272,6.29251700680272e-07,6.29251700680272e-07,0.198214285714286,3.14625850340136e-05
AE2100A ,0.000345833333333333,8.33333333333333e-07,0.00081145584725537,0.181666666666667,1.81666666666667e-06,1.81666666666667e-06,0.57225,9.08333333333333e-05
CT75A2,0.00013508064516129,6.25e-05,0.000981182795698925,0.0712365591397849,7.12365591397849e-07,7.12365591397849e-07,0.224395161290323,3.56182795698925e-05
PW150A,0.000377450980392157,0.000141456582633053,0.00469887955182073,0.235994397759104,2.35994397759104e-06,2.35994397759104e-06,0.743382352941177,0.000117997198879552
AI24VT,0.000670962199312715,2.9639175257732e-05,0.00024914089347079,0.0910652920962199,9.10652920962199e-07,9.10652920962199e-07,0.286855670103093,4.553264604811e-05
